Name,Cite,z,ZCite,IDunWISE,RA,Dec,W1mag,W2mag,lumbol
IRASF 02292-5744,PGC,0.266,0873,0387m576o0017363,37.68489683,-57.51713681,12.280635163038164,10.987060728930578,7.791497700439688E45
RX J09305+2044,0015,0.242,DR16,1420p212o0004704,142.64349079,20.73796941,12.048251996759912,11.075512192220394,7.785335252794376E45
PGC 1490211,PGC,0.166,0889,1079p151o0030506,108.06503862,15.65838779,11.135402918724358,10.119339039646452,7.783309378697936E45
UGC 545,PGC,0.061,0762,0139p121o0019788,13.39553251,12.69334687,8.813585273315281,7.730021335521812,7.780505812532039E45
6dF J153956.7-051627,6dF,0.288,6dF,2354m046o0000973,234.98619506,-5.27429742,12.480737214088048,11.429460471096686,7.771922784225723E45
SDSS J113915.13+253557.9,DR16,0.219,DR16,1750p257o0009264,174.81311636,25.5993844,11.807697169835563,10.653980200454695,7.757387805032025E45
SDSS J121113.97+464711.9,DR16Q,0.294,DR16Q,1832p469o0010804,182.80829701,46.78668209,12.534257787702517,11.455532182011272,7.756891753487003E45
RXS J12216+3435,0063,0.299,DR16Q,1845p348o0008913,185.40306436,34.59465912,12.576658279190612,11.661004258667491,7.754864239732293E45
RXS J02092-2122,1677,0.254,1677,0322m213o0008647,32.32088187,-21.38169158,12.171996274934418,11.188522926651205,7.752523753989839E45
OX 169,0264,0.211,0993,3251p181o0007624,325.8981132,17.73022451,11.719292085521303,10.634972230620184,7.741634879145404E45
MS 14588+2249,1734,0.235,1511,2247p227o0013257,225.25765071,22.63509136,11.983002749046133,11.14231441241617,7.73673519382846E45
UVQSJ161051.35-074358.4,UVQS,0.183,UVQS,2425m076o0012518,242.71398825,-7.7328812,11.381019727946155,10.48760800035627,7.698603389952126E45
HE 1050-2711,1518,0.208,1518,1639m273o0011502,163.21257759,-27.45475069,11.691199430614155,10.75764634533275,7.693959875535863E45
IRAS 13065+0449,PGC,0.222,0887,1974p045o0012107,197.27142981,4.55341201,11.85346664799314,10.610236671477685,7.668052621069007E45
2MASS J16376+2543,0305,0.277,LOZAGN,2500p257o0015592,249.4021346,25.7174576,12.39859303729672,11.276088086091647,7.667139673437089E45
PGC 1637803,PGC,0.156,2016,1162p212o0008531,116.99664842,20.87371971,11.004172978911347,10.188177854282564,7.663200461869153E45
H 1002+430,1525,0.257,DR16,1516p424o0013823,151.36814806,42.51046285,12.218319957207168,11.14026427048828,7.629658979811334E45
GB6 J17255+5851,0309,0.297,1156,2620p590o0014468,261.39587698,58.86112296,12.58771353512132,11.71659762188968,7.558659167498562E45
SDSS J235950.69+322309.4,DR16Q,0.24,DR16,0000p318o0024970,359.96122529,32.38593785,12.069587716147607,11.196958591081858,7.491834444856467E45
KUV 22497+1439,0996,0.135,2009,3427p151o0009519,343.03359409,14.91373193,10.688020500348289,9.65685215340808,7.481019058691829E45
SDSS J132136.85+355553.5,DR16Q,0.283,DR16,1995p363o0006245,200.40361699,35.93158472,12.479138426868277,11.3894975278396,7.476959409447696E45
HE 0106-3248,0139,0.227,2086,0176m319o0000638,17.29693108,-32.54555532,11.938602602647894,11.01112167039562,7.454115412951189E45
4C 21.26,0139,0.295,DR16,1485p212o0014807,148.52930329,21.37666967,12.586654670462512,11.503240762217304,7.449365600618609E45
UM 202,1119,0.3,0824,0015p030o0006224,1.86268245,2.68699491,12.632065370643163,11.482670698812182,7.425908006942452E45
PKS 2230-351,0100,0.298,0100,3362m349o0010621,335.77469814,-34.92977311,12.617510639902251,11.62312045545896,7.411135692802086E45
FBQS J0909+3124,DR7Q,0.264,DR16,1376p318o0005561,137.44936308,31.41212102,12.319375255966214,11.358363863378877,7.390140250294817E45
ABQ J1618-1424,ABQ,0.207,ABQ,2441m152o0033737,244.68909237,-14.40697539,11.72736253703398,10.74856517878546,7.362130100158413E45
2MASS J15452+3815,0305,0.292,DR16,2368p378o0023387,236.32033362,38.26101086,12.578115713869051,11.485481943596358,7.333849435677298E45
SDSS J140308.79+375827.5,DR16Q,0.184,DR16,2103p378o0015215,210.78666331,37.97433814,11.447430560831291,10.519791572262882,7.329811676389122E45
UVQSJ070919.25+254923.4,UVQS,0.136,UVQS,1066p257o0018711,107.33025211,25.82317526,10.727885904879551,9.844485477950718,7.327771815851415E45
ABQ J1601-7202,ABQ,0.104,ABQ,2383m727o0046716,240.49015192,-72.04312062,10.100858488528504,9.17087511361814,7.326168469896272E45
MS 03574+1046,0996,0.182,1782,0599p106o0018535,60.04859668,10.92016807,11.422234179547138,10.433161338324934,7.322414703309614E45
TXS 1557+565,0574,0.3,0574,2399p560o0026966,239.70125578,56.42063815,12.650291230415462,11.661505707136024,7.302292431008379E45
2MASX J13485478+4303095,DR7Q,0.274,DR16,2062p424o0025310,207.22825974,43.05254606,12.425424951723354,11.486164555087903,7.296018812675261E45
2MASS J23448+1221,0305,0.199,1155,3569p121o0015593,356.20660775,12.36209976,11.64359789137292,10.617076879958685,7.282638705119665E45
UVQSJ121145.52-282156.6,UVQS,0.205,UVQS,1834m288o0022058,182.93971106,-28.36577053,11.716439332077018,10.765506814200943,7.276915991043435E45
2MASS J09188+2117,1737,0.149,DR16Q,1404p212o0011862,139.70256883,21.28806996,10.955534013259005,9.9933971274999,7.24852715225015E45
RXS J20431+0324,0102,0.271,0100,3100p030o0028531,310.77611797,3.4143679,12.406732622757271,11.390317703072398,7.238335337243537E45
6dF J145339.9-263516,6dF,0.232,UVQS,2230m273o0029671,223.41622963,-26.58742873,12.023890600733276,11.109967813600283,7.237832894229983E45
2MASX J14261331+1955244,DR7Q,0.213,DR16Q,2160p196o0016963,216.55550841,19.92354308,11.816570720025677,10.817493836604816,7.229360859776112E45
PG 0947+396,0996,0.206,DR16Q,1470p393o0014130,147.70159832,39.44738036,11.738019958769431,10.57912634457601,7.211712199885499E45
1SAX J12189+2958,0031,0.175,DR16,1843p302o0007293,184.72786127,29.96852629,11.3446041974338,10.217665550586252,7.211617984052489E45
RXS J11311+2632,0102,0.244,DR16Q,1723p272o0000937,172.78858194,26.53555213,12.15534929461785,11.23407570726124,7.186731154401053E45
PKS 2031+21,0889,0.202,0889,3179p348o0048232,317.3829437,35.54934917,11.694658589759744,10.542958790921196,7.183910875020514E45
PKS 0558-504,0226,0.137,1524,0905m500o0007757,89.94746088,-50.44777511,10.76737628985105,9.867976679648596,7.179354368987341E45
RXS J12302+2517,0102,0.135,1342,1883p257o0004867,187.55873923,25.30197627,10.73621735625617,9.816070679237686,7.156192571097357E45
IRASF 03556-6300,PGC,0.108,1202,0594m637o0037919,59.08315341,-62.86089357,10.216313103774198,8.925901870346117,7.140973333336847E45
2MASX J13301606+5251018,DR7Q,0.162,DR16,2021p530o0012155,202.56702984,52.85052787,11.17232505794519,10.235092269970863,7.130277735382741E45
6dF J145712.7-131503,6dF,0.254,6dF,2250m137o0019719,224.30284673,-13.25084831,12.26390952995511,11.12128351429871,7.123243715409158E45
PG 1114+445,1645,0.144,DR16Q,1685p439o0018763,169.27667758,44.2259369,10.894382940480272,9.750021916138287,7.118184089707109E45
RXS J04397-4540,0740,0.224,0740,0702m455o0011939,69.93695208,-45.6784806,11.956421751830357,10.910788093631943,7.116442576629963E45
